"2010","SOUND","THE KING'S SPEECH",0
"2010","SOUND","SALT",0
"2010","SOUND","THE SOCIAL NETWORK",0
"2010","SOUND","TRUE GRIT",0
"2010","SOUND EDITING","INCEPTION",1
"2010","SOUND EDITING","TOY STORY 3",0
"2010","SOUND EDITING","TRON: LEGACY",0
"2010","SOUND EDITING","TRUE GRIT",0
"2010","SOUND EDITING","UNSTOPPABLE",0
"2010","VISUAL EFFECTS","ALICE IN WONDERLAND",0
"2010","VISUAL EFFECTS","HARRY POTTER AND THE DEATHLY HALLOWS PART 1",0
"2010","VISUAL EFFECTS","HEREAFTER",0
"2010","VISUAL EFFECTS","INCEPTION",1
"2010","VISUAL EFFECTS","IRON MAN 2",0
"2010","WRITING","127 HOURS",0
"2010","WRITING","THE SOCIAL NETWORK",1
"2010","WRITING","TOY STORY 3",0
"2010","WRITING","TRUE GRIT",0
"2010","WRITING","WINTER'S BONE",0
"2010","WRITING","ANOTHER YEAR",0
"2010","WRITING","THE FIGHTER",0
"2010","WRITING","INCEPTION",0
"2010","WRITING","THE KIDS ARE ALL RIGHT",0
"2010","WRITING","THE KING'S SPEECH",1
"2009","ACTOR -- LEADING ROLE","CRAZY HEART",1
"2009","ACTOR -- LEADING ROLE","UP IN THE AIR",0
"2009","ACTOR -- LEADING ROLE","A SINGLE MAN",0
"2009","ACTOR -- LEADING ROLE","INVICTUS",0
"2009","ACTOR -- LEADING ROLE","THE HURT LOCKER",0
"2009","ACTOR -- SUPPORTING ROLE","INVICTUS",0
"2009","ACTOR -- SUPPORTING ROLE","THE MESSENGER",0
"2009","ACTOR -- SUPPORTING ROLE","THE LAST STATION",0
"2009","ACTOR -- SUPPORTING ROLE","THE LOVELY BONES",0
"2009","ACTOR -- SUPPORTING ROLE","INGLOURIOUS BASTERDS",1
"2009","ACTRESS -- LEADING ROLE","THE BLIND SIDE",1
"2009","ACTRESS -- LEADING ROLE","THE LAST STATION",0
"2009","ACTRESS -- LEADING ROLE","AN EDUCATION",0
"2009","ACTRESS -- LEADING ROLE","PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE",0
"2009","ACTRESS -- LEADING ROLE","JULIE & JULIA",0
"2009","ACTRESS -- SUPPORTING ROLE","NINE",0
"2009","ACTRESS -- SUPPORTING ROLE","UP IN THE AIR",0
"2009","ACTRESS -- SUPPORTING ROLE","CRAZY HEART",0
"2009","ACTRESS -- SUPPORTING ROLE","UP IN THE AIR",0
"2009","ACTRESS -- SUPPORTING ROLE","PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE",1
"2009","ANIMATED FEATURE FILM","CORALINE",0
"2009","ANIMATED FEATURE FILM","FANTASTIC MR. FOX",0
"2009","ANIMATED FEATURE FILM","THE PRINCESS AND THE FROG",0
"2009","ANIMATED FEATURE FILM","THE SECRET OF KELLS",0
"2009","ANIMATED FEATURE FILM","UP",1
"2009","ART DIRECTION","AVATAR",1
"2009","ART DIRECTION","THE IMAGINARIUM OF DOCTOR PARNASSUS",0
"2009","ART DIRECTION","NINE",0
"2009","ART DIRECTION","SHERLOCK HOLMES",0
"2009","ART DIRECTION","THE YOUNG VICTORIA",0
